Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
YBP,M,adult,1025,102.5,729.7,8.054166667,NA,416,24.5,5/31/21,dorsal dark,22.1,27.5,,,,
YBY,M,adult,985,98.5,NA,5.883333333,NA,408,25,5/28/21,dorsal dark,23.9,25.8,,,,
YGR,M,adult,751,75.1,274.1,9.181666667,NA,390.6666667,18,5/23/21,dorsal dark,17.9,25.3,,,,
YRP,M,adult,702,70.2,247.2,6.74,NA,NA,26.5,6/1/21,dorsal dark,24.4,22.6,,,,
YRR,M,adult,1002,100.2,706.1,10.285,NA,426,25,5/31/21,dorsal dark,22,26.6,,,,
YYP,M,adult,811,81.1,382.3,7.72,NA,388.5,26,5/29/21,dorsal dark,23.3,27.3,,,,
Baby1,M,juvenile,379,37.9,36.3,5.36,NA,NA,18,5/25/21,dorsum,14.7,40.3,,,,
Baby10,F,juvenile,261,26.1,9.1,11.92666667,NA,NA,18,5/25/21,dorsum,17.8,31.9,,,,
Baby11,M,juvenile,231,23.1,8.8,5.48,NA,NA,18,5/25/21,dorsum,17.6,30.1,,,,
Baby12,M,juvenile,252,25.2,11.3,4.35,NA,NA,18,5/25/21,dorsum,17.7,29.8,,,,
Baby13,M,juvenile,251,25.1,10.1,5.896666667,NA,NA,18,5/25/21,dorsum,17.9,30.1,,,,
Baby2,M,juvenile,329,32.9,25.7,5.35,NA,NA,18,5/25/21,dorsum,15.5,37.9,,,,
Baby3,F,juvenile,394,39.4,37.4,5.153333333,NA,NA,18,5/25/21,dorsum,16.1,37.8,,,,
Baby4,M,juvenile,360,36,29.7,18.86,NA,NA,18,5/25/21,dorsum,16.8,36,,,,
Baby5,M,juvenile,290,29,19.7,9.01,NA,NA,18,5/25/21,dorsum,16.7,32.7,,,,
Baby6,F,juvenile,348,34.8,22.8,4.295,NA,NA,18,5/25/21,dorsum,17.3,31.8,,,,
Baby7,F,juvenile,311,31.1,18,5.85,NA,NA,18,5/25/21,dorsum,17.4,31.5,,,,
Baby8,F,juvenile,276,27.6,14.3,7.605,NA,NA,18,5/25/21,dorsum,17.6,31.7,,,,
Baby9,F,juvenile,284,28.4,10.5,7.12,NA,NA,18,5/25/21,dorsum,17.1,30.9,,,,
